0	0	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.01	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.02	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.03	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.04	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.05	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.06	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.07	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.08	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.09	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.1	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.11	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.12	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.13	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.14	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.15	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.16	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.17	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.18	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.19	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.2	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.21	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.22	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.23	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.24	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.25	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.26	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.27	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.28	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.29	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.3	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.31	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.32	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.33	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.34	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.35	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.36	1.37544	0.394884	1.56826	2.85048	0.999986
0	0.37	1.37544	0.394884	1.56826	2.85048	0.999986
0	0.38	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.39	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.4	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.41	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.42	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.43	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.44	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.45	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.46	1.37544	0.394885	1.56826	2.85048	0.999987
0	0.47	1.37544	0.394885	1.56826	2.85048	0.999987
0	0.48	1.37544	0.394885	1.56826	2.85048	0.999987
0	0.49	1.37544	0.394885	1.56826	2.85048	0.999987
0	0.5	1.37544	0.394885	1.56826	2.85048	0.999987
0	0.51	1.37544	0.394885	1.56826	2.85048	0.999987
0	0.52	1.37544	0.394885	1.56826	2.85048	0.999987
0	0.53	1.37544	0.394885	1.56826	2.85048	0.999987
0	0.54	1.37544	0.394885	1.56826	2.85048	0.999987
0	0.55	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.56	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.57	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.58	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.59	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.6	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.61	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.62	1.37544	0.394885	1.56826	2.85048	0.999986
0	0.63	1.37544	0.394884	1.56826	2.85048	0.999986
0	0.64	1.37544	0.394884	1.56826	2.85048	0.999986
0	0.65	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.66	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.67	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.68	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.69	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.7	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.71	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.72	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.73	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.74	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.75	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.76	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.77	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.78	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.79	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.8	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.81	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.82	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.83	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.84	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.85	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.86	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.87	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.88	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.89	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.9	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.91	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.92	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.93	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.94	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.95	1.37544	0.394884	1.56826	2.85048	0.999987
0	0.96	1.37544	0.394884	1.56826	2.85048	0.999987
