0.00125	5.92593	6220.51	4.665e+07	1.16625e+08
0.00375	5.92593	6220.51	4.665e+07	1.16625e+08
0.00625	5.92593	6220.51	4.665e+07	1.16625e+08
0.00875	5.92593	6220.51	4.665e+07	1.16625e+08
0.01125	5.92593	6220.51	4.665e+07	1.16625e+08
0.01375	5.92593	6220.51	4.665e+07	1.16625e+08
0.01625	5.92593	6220.51	4.665e+07	1.16625e+08
0.01875	5.92593	6220.51	4.665e+07	1.16625e+08
0.02125	5.92593	6220.51	4.665e+07	1.16625e+08
0.02375	5.92593	6220.51	4.665e+07	1.16625e+08
0.02625	5.92593	6220.51	4.665e+07	1.16625e+08
0.02875	5.92593	6220.51	4.665e+07	1.16625e+08
0.03125	5.92593	6220.51	4.665e+07	1.16625e+08
0.03375	5.92593	6220.51	4.665e+07	1.16625e+08
0.03625	5.92593	6220.51	4.665e+07	1.16625e+08
0.03875	5.92593	6220.51	4.665e+07	1.16625e+08
0.04125	5.92593	6220.51	4.665e+07	1.16625e+08
0.04375	5.92593	6220.51	4.665e+07	1.16625e+08
0.04625	5.92593	6220.51	4.665e+07	1.16625e+08
0.04875	5.92593	6220.51	4.665e+07	1.16625e+08
0.05125	5.92593	6220.51	4.665e+07	1.16625e+08
0.05375	5.92593	6220.51	4.665e+07	1.16625e+08
0.05625	5.92593	6220.51	4.665e+07	1.16625e+08
0.05875	5.92593	6220.51	4.665e+07	1.16625e+08
0.06125	5.92593	6220.51	4.665e+07	1.16625e+08
0.06375	5.92593	6220.51	4.665e+07	1.16625e+08
0.06625	5.92593	6220.51	4.665e+07	1.16625e+08
0.06875	5.92593	6220.51	4.665e+07	1.16625e+08
0.07125	5.92593	6220.51	4.665e+07	1.16625e+08
0.07375	5.92593	6220.51	4.665e+07	1.16625e+08
0.07625	5.92593	6220.51	4.665e+07	1.16625e+08
0.07875	5.92593	6220.51	4.665e+07	1.16625e+08
0.08125	5.92593	6220.51	4.665e+07	1.16625e+08
0.08375	5.92593	6220.51	4.665e+07	1.16625e+08
0.08625	5.92593	6220.51	4.665e+07	1.16625e+08
0.08875	5.92593	6220.51	4.665e+07	1.16625e+08
0.09125	5.92593	6220.51	4.665e+07	1.16625e+08
0.09375	5.92593	6220.51	4.665e+07	1.16625e+08
0.09625	5.92593	6220.51	4.665e+07	1.16625e+08
0.09875	5.92593	6220.51	4.665e+07	1.16625e+08
0.10125	5.92593	6220.51	4.665e+07	1.16625e+08
0.10375	5.92593	6220.51	4.665e+07	1.16625e+08
0.10625	5.92593	6220.51	4.665e+07	1.16625e+08
0.10875	5.92593	6220.51	4.665e+07	1.16625e+08
0.11125	5.92593	6220.51	4.665e+07	1.16625e+08
0.11375	5.92593	6220.51	4.665e+07	1.16625e+08
0.11625	5.92593	6220.51	4.665e+07	1.16625e+08
0.11875	5.92593	6220.51	4.665e+07	1.16625e+08
0.12125	5.92593	6220.51	4.665e+07	1.16625e+08
0.12375	5.92593	6220.51	4.665e+07	1.16625e+08
0.12625	5.92593	6220.51	4.665e+07	1.16625e+08
0.12875	5.92593	6220.51	4.665e+07	1.16625e+08
0.13125	5.92593	6220.51	4.665e+07	1.16625e+08
0.13375	5.92593	6220.51	4.665e+07	1.16625e+08
0.13625	5.92593	6220.51	4.665e+07	1.16625e+08
0.13875	5.92593	6220.51	4.665e+07	1.16625e+08
0.14125	5.92593	6220.51	4.665e+07	1.16625e+08
0.14375	5.92593	6220.51	4.665e+07	1.16625e+08
0.14625	5.92593	6220.51	4.665e+07	1.16625e+08
0.14875	5.92593	6220.51	4.665e+07	1.16625e+08
0.15125	5.92593	6220.51	4.665e+07	1.16625e+08
0.15375	5.92593	6220.51	4.665e+07	1.16625e+08
0.15625	5.92593	6220.51	4.665e+07	1.16625e+08
0.15875	5.92593	6220.51	4.665e+07	1.16625e+08
0.16125	5.92593	6220.51	4.665e+07	1.16625e+08
0.16375	5.92593	6220.51	4.665e+07	1.16625e+08
0.16625	5.92593	6220.51	4.665e+07	1.16625e+08
0.16875	5.92593	6220.51	4.665e+07	1.16625e+08
0.17125	5.92593	6220.51	4.665e+07	1.16625e+08
0.17375	5.92593	6220.51	4.665e+07	1.16625e+08
0.17625	5.92593	6220.51	4.665e+07	1.16625e+08
0.17875	5.92593	6220.51	4.665e+07	1.16625e+08
0.18125	5.92593	6220.51	4.665e+07	1.16625e+08
0.18375	5.92593	6220.51	4.665e+07	1.16625e+08
0.18625	5.92593	6220.51	4.665e+07	1.16625e+08
0.18875	5.92593	6220.51	4.665e+07	1.16625e+08
0.19125	5.92593	6220.51	4.665e+07	1.16625e+08
0.19375	5.92593	6220.51	4.665e+07	1.16625e+08
0.19625	5.92593	6220.51	4.665e+07	1.16625e+08
0.19875	5.92593	6220.51	4.665e+07	1.16625e+08
0.20125	5.92593	6220.51	4.665e+07	1.16625e+08
0.20375	5.92593	6220.51	4.665e+07	1.16625e+08
0.20625	5.92593	6220.51	4.665e+07	1.16625e+08
0.20875	5.92593	6220.51	4.665e+07	1.16625e+08
0.21125	5.92593	6220.51	4.665e+07	1.16625e+08
0.21375	5.92593	6220.51	4.665e+07	1.16625e+08
0.21625	5.92593	6220.51	4.665e+07	1.16625e+08
0.21875	5.92593	6220.51	4.665e+07	1.16625e+08
0.22125	5.92593	6220.51	4.665e+07	1.16625e+08
0.22375	5.92593	6220.51	4.665e+07	1.16625e+08
0.22625	5.92593	6220.51	4.665e+07	1.16625e+08
0.22875	5.92593	6220.51	4.665e+07	1.16625e+08
0.23125	5.92593	6220.51	4.665e+07	1.16625e+08
0.23375	5.92593	6220.51	4.665e+07	1.16625e+08
0.23625	5.92593	6220.51	4.665e+07	1.16625e+08
0.23875	5.92593	6220.51	4.665e+07	1.16625e+08
0.24125	5.92593	6220.51	4.665e+07	1.16625e+08
0.24375	5.92593	6220.51	4.665e+07	1.16625e+08
0.24625	5.92593	6220.51	4.665e+07	1.16625e+08
0.24875	5.92593	6220.51	4.665e+07	1.16625e+08
0.25125	5.92593	6220.51	4.665e+07	1.16625e+08
0.25375	5.92593	6220.51	4.665e+07	1.16625e+08
0.25625	5.92593	6220.51	4.665e+07	1.16625e+08
0.25875	5.92593	6220.51	4.665e+07	1.16625e+08
0.26125	5.92593	6220.51	4.665e+07	1.16625e+08
0.26375	5.92593	6220.51	4.665e+07	1.16625e+08
0.26625	5.92593	6220.51	4.665e+07	1.16625e+08
0.26875	5.92593	6220.51	4.665e+07	1.16625e+08
0.27125	5.92593	6220.51	4.665e+07	1.16625e+08
0.27375	5.92593	6220.51	4.665e+07	1.16625e+08
0.27625	5.92593	6220.51	4.665e+07	1.16625e+08
0.27875	5.92593	6220.51	4.665e+07	1.16625e+08
0.28125	5.92593	6220.51	4.665e+07	1.16625e+08
0.28375	5.92593	6220.51	4.665e+07	1.16625e+08
0.28625	5.92593	6220.51	4.665e+07	1.16625e+08
0.28875	5.92593	6220.51	4.665e+07	1.16625e+08
0.29125	5.92593	6220.51	4.665e+07	1.16625e+08
0.29375	5.92593	6220.51	4.665e+07	1.16625e+08
0.29625	5.92593	6220.51	4.665e+07	1.16625e+08
0.29875	5.92593	6220.51	4.665e+07	1.16625e+08
0.30125	5.92593	6220.51	4.665e+07	1.16625e+08
0.30375	5.92593	6220.51	4.665e+07	1.16625e+08
0.30625	5.92593	6220.51	4.665e+07	1.16625e+08
0.30875	5.92593	6220.51	4.665e+07	1.16625e+08
0.31125	5.92593	6220.51	4.665e+07	1.16625e+08
0.31375	5.92593	6220.51	4.665e+07	1.16625e+08
0.31625	5.92593	6220.51	4.665e+07	1.16625e+08
0.31875	5.92593	6220.51	4.665e+07	1.16625e+08
0.32125	5.92593	6220.51	4.665e+07	1.16625e+08
0.32375	5.92593	6220.51	4.665e+07	1.16625e+08
0.32625	5.92593	6220.51	4.665e+07	1.16625e+08
0.32875	5.92593	6220.51	4.665e+07	1.16625e+08
0.33125	5.92593	6220.51	4.665e+07	1.16625e+08
0.33375	5.92593	6220.51	4.665e+07	1.16625e+08
0.33625	5.92593	6220.51	4.665e+07	1.16625e+08
0.33875	5.92593	6220.51	4.665e+07	1.16625e+08
0.34125	5.92593	6220.51	4.665e+07	1.16625e+08
0.34375	5.92593	6220.51	4.665e+07	1.16625e+08
0.34625	5.92593	6220.51	4.665e+07	1.16625e+08
0.34875	5.92593	6220.51	4.665e+07	1.16625e+08
0.35125	5.92593	6220.51	4.665e+07	1.16625e+08
0.35375	5.92593	6220.51	4.665e+07	1.16625e+08
0.35625	5.92593	6220.51	4.665e+07	1.16625e+08
0.35875	5.92593	6220.51	4.665e+07	1.16625e+08
0.36125	5.92593	6220.51	4.665e+07	1.16625e+08
0.36375	5.92593	6220.51	4.665e+07	1.16625e+08
0.36625	5.92593	6220.51	4.665e+07	1.16625e+08
0.36875	5.92593	6220.51	4.665e+07	1.16625e+08
0.37125	5.92593	6220.51	4.665e+07	1.16625e+08
